Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
CICLO,MTX,1.0097519769,0.6085640561,1.6754178047,0.6045209852,1.6866230946,3.8707804216,0,0.9903422057000001,0.5968715992,1.6431971057,,,
DEUCRAVA,MTX,2.0152417639,0.1626282383,24.972289008,0.1573279086,25.8135978743,0.7786962685000001,0,,,,0.49621837830000004,0.0400462389,6.1487092322
ETA,MTX,1.5341828693,0.30842224900000004,7.6314762759,0.3019769498,7.7943600589,1.2217292757,0,,,,0.6518127793,0.1310401085,3.2422126629
FUM,MTX,0.6272843201,0.1245894716,3.1582573793,0.12196642790000001,3.2261797358,1.2125893051,0,2.0000000001,0.1914059066,20.8979966774,1.2989855156,0.1397221863,12.0765600233
GUSEL,MTX,3.4718143152,0.6989177772,17.2459408417,0.6843245074000001,17.6137117823,1.2227840955,0,,,,0.2880338374,0.057986367000000004,1.4307413252
IFX,MTX,7.2189370028,1.17139824,44.4879031482,1.1436888875,45.5657583266,1.077805693,0,,,,0.13852455,0.0224787717,0.8536521149
IXE,MTX,4.348433096,0.8749118091,21.6123158847,0.8566376347,22.0733594053,1.2223659849,0,,,,0.2299678937,0.046271277400000005,1.1429386668000001
NETA,MTX,0.6467137878,0.1098560351,3.8071529056,0.10732205140000001,3.8970436917,1.1056373965,0,,,,1.5462790788,0.2626720281,9.1025260934
PBO,MTX,0.1440849184,0.0292654015,0.7093859174,0.0286577039,0.7244287185,1.2296134682,0,5.8064193541,0.7246055585000001,46.5280804427,8.9399293288,0.7492274433,106.6729964576
RISAN,MTX,4.1404380148,0.8325689355,20.5907597831,0.815172807,21.0301752055,1.2219140271,0,,,,0.2415203407,0.048566905,1.2010663419
SECU,MTX,3.7823833758000003,0.7616868385000001,18.7825537728,0.7457861570000001,19.1830109295,1.2230323591,0,,,,0.2643835647,0.0532424643,1.312836854
SONELO,MTX,3.6609286597,0.7258049152,18.4655661202,0.7105072086,18.8631423993,1.2112291875,0,,,,0.27315473560000003,0.0541564623,1.3777397272
TILDRA,MTX,2.6738865242000003,0.5300772742000001,13.4879752302,0.5189043865,13.778394112800001,1.2111733033,0,,,,0.373987449,0.07414231710000001,1.8864613012
USK,MTX,2.7224288701,0.5481518766,13.5211047696,0.5367077863,13.8094120144,1.2229154396,0,,,,0.367319055,0.07396063180000001,1.8242581895
ADA,CERTO,1.3062309466,0.9653885413000001,1.7674119932,0.9615534859,1.7744611308,6.4821143552,0,,,,0.765561406,0.5658021786,1.0358466059
APRE,CERTO,0.5789641344,0.3178765123,1.0544958684,0.3153774035,1.0628518886,3.2689682916000002,0,,,,1.7272227079,0.9483309015,3.1458410542
BIME,CERTO,2.2796363349,1.6878787986,3.0788595863,1.6812140512,3.0910649456,6.5215220697,0,,,,0.4386664595,0.3247973786,0.5924563294
BRODA,CERTO,1.8152423085,1.3341740991,2.4697711047,1.3287771828000001,2.4798022432,6.3655684772,0,,,,0.5508906416,0.4048981122,0.7495231266
CICLO,CERTO,0.5280114137,0.096178711,2.8987293544,0.09404661880000001,2.9644452576,1.1509710755,0,,,,1.893898454,0.3449895349,10.3969859683
DEUCRAVA,CERTO,1.0537940771,0.1463497664,7.587862858,0.1425954059,7.7876418923,0.9928308897,0,,,,0.9489520028,0.1317941949,6.8326977863
ETA,CERTO,0.8022426142,0.6087114619,1.0573042439,0.6065033007,1.0611536842,7.0997332985,0,1.1964912281,0.8955481886000001,1.5985641835000002,1.8671768143,0.7515372506,4.6389573542
FUM,CERTO,0.3280144909,0.1417353479,0.7591155473000001,0.1401783512,0.7675472376,2.3358465508,0,,,,3.0486458002,1.3173428238,7.0552942235
GUSEL,CERTO,1.8154533256,1.349546653,2.4422058847,1.3442882162,2.4517590334,6.6089734914000005,0,,,,0.5508266095000001,0.4094681189,0.7409855364
IFX,CERTO,3.7748686996,1.4955798009,9.5278324105,1.4774621767,9.6446690301,2.1169698369,0,,,,0.2649098762,0.104957452,0.6686256306
IXE,CERTO,2.273847795,1.6946722978,3.0509637773,1.6881264846000001,3.0627940750000002,6.6670278455,0,,,,0.43978317380000004,0.32776705170000003,0.5900813976
MTX,CERTO,0.522911988,0.1028763352,2.657918817,0.100697822,2.7154206708,1.2054969216,0,,,,1.9123677079,0.3762454557,9.7201180642
NETA,CERTO,0.3381743924,0.1460948104,0.7827924851,0.144489525,0.7914893461,2.3352629303,0,,,,2.9570541778,1.2774974742,6.8447645393
