comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
DEUCRAVA:ETA,0,,,,1.3135603351,1.3135603351,0.1856999913,9.2915499994,
DEUCRAVA:FUM,0,,,,3.2126448875,3.2126448875,0.3947381977,26.1466643812,
DEUCRAVA:GUSEL,0,,,,0.5804578186,0.5804578186,0.0821533537,4.1012480194,
DEUCRAVA:IFX,0,,,,0.2791604585,0.2791604585,0.0329909732,2.3621783189,
DEUCRAVA:IXE,0,,,,0.4634409038,0.4634409038,0.0655622404,3.2759324546,
DEUCRAVA:MTX,0,,,,2.0152417639,2.0152417639,0.1626357602,24.971134042,
DEUCRAVA:NETA,0,,,,3.1161261783,3.1161261783,0.38284679390000004,25.3632589184,
DEUCRAVA:PBO,1,13.9864864866,1.994021783,98.1041460562,13.9864864866,,,,
DEUCRAVA:RISAN,0,,,,0.4867218774,0.4867218774,0.0688222879,3.4421724888,
DEUCRAVA:SECU,0,,,,0.5327968013000001,0.5327968013000001,0.0754279104,3.7634932463,
DEUCRAVA:SONELO,0,,,,0.5504728311,0.5504728311,0.0769374863,3.9385266174,
DEUCRAVA:TILDRA,0,,,,0.7536751263,0.7536751263,0.10533182810000001,5.3927308208,
DEUCRAVA:USK,0,,,,0.7402367004,0.7402367004,0.1047819641,5.2294340646,
ETA:FUM,0,,,,2.4457535765,2.4457535765,1.1028921028,5.4236588891,
ETA:GUSEL,0,,,,0.4418965791,0.4418965791,0.3934373385,0.4963244908,
ETA:IFX,1,0.1086956522,0.0150663402,0.7841814675000001,0.21252199160000002,0.2516533127,0.09331108960000001,0.6786909253,0.4567971054
ETA:IXE,2,0.3433042459,0.2987685457,0.3944786254,0.352812803,0.36765996570000004,0.3099729563,0.4360827215,0.5415941750000001
ETA:MTX,0,,,,1.5341828693,1.5341828693,0.3084313412,7.6312513103,
ETA:NETA,0,,,,2.3722748739,2.3722748739,1.069521181,5.2618762277,
ETA:PBO,14,11.6683844285,8.1346904294,16.7371083573,10.6477685971,10.3230877097,8.3691640862,12.733188018,0.5650801487
ETA:RISAN,0,,,,0.3705363693,0.3705363693,0.3228996765,0.4252008007,
ETA:SECU,1,0.43080462480000004,0.3429693741,0.5411346867,0.4056127359,0.3977031119,0.3490983657,0.4530750664,0.5507652789
