unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
140,Umezawa_2021,L,2021,PBO,PBO,26,0,21,26,1,26,-0.69999993,4.9000001,26,50,0.78,73,26.5
141,Cai_2020,L,2020,PBO,PBO,135,2,71,135,2,135,0,NA,135,39.5,0.79,73,.
141,Cai_2020,L,2020,SECU,AIL17,408,295,336,408,14,408,0,NA,408,39.5,0.79,73,.
142,ECLIPSE_2019,L,2019,GUSEL,AIL23,534,369,416,534,33,534,0,NA,534,46,0.67,NA,30
142,ECLIPSE_2019,L,2019,SECU,AIL17,514,391,417,514,37,514,0,NA,514,46,0.67,NA,30
146,IXORA-R_2020,L,2020,GUSEL,AIL23,507,285,277,507,16,507,0,NA,507,49,0.63,95,33
146,IXORA-R_2020,L,2020,IXE,AIL17,520,378,293,520,18,520,0,NA,520,49,0.63,95,33
147,NCT03055494 ObePso-S,L,2020,PBO,PBO,28,0,0,28,1,28,0,NA,28,44.5,0.51,NA,.
147,NCT03055494 ObePso-S,L,2020,SECU,AIL17,54,29,0,54,1,54,0,NA,54,44.5,0.51,NA,.
148,IMMerge_2021,M,2020,RISAN,AIL23,164,121,117,164,9,164,0,NA,164,47,0.65,NA,.
148,IMMerge_2021,M,2020,SECU,AIL17,163,107,116,163,6,163,0,NA,163,47,0.65,NA,.
150,BE READY_2021,L,2021,BIME,AIL17,349,317,213,349,6,349,0,NA,349,44,0.72,89.5,30
150,BE READY_2021,L,2021,PBO,PBO,86,1,35,86,2,86,0,NA,86,44,0.72,89.5,30
151,BE VIVID_2021,L,2021,BIME,AIL17,321,273,181,321,5,321,0,NA,321,46,0.72,88.5,29.5
151,BE VIVID_2021,L,2021,PBO,PBO,83,4,39,83,2,83,0,NA,83,46,0.72,88.5,29.5
151,BE VIVID_2021,L,2021,USK,AIL1223,163,81,83,163,5,163,0,NA,163,46,0.72,88.5,29.5
152,BE RADIANT_2021,L,2021,BIME,AIL17,373,319,0,373,0,373,0,NA,373,45,0.65,89.5,.
152,BE RADIANT_2021,L,2021,SECU,AIL17,370,275,0,370,0,370,0,NA,370,45,0.65,89.5,.
153,BE SURE_2021,L,2021,ADA,ATA,159,82,111,159,5,159,-7.3999996,6.3000002,159,45,0.69,91,30.5
153,BE SURE_2021,L,2021,BIME,AIL17,319,273,228,319,5,319,-9.3500004,6.3099999,319,45,0.69,91,30.5
158,NCT03535194,L,2021,PBO,PBO,112,7,68,112,0,112,0,NA,112,NA,0.7,NA,.
