,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,sample_size,age,male_percentage,weight,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,r21,r22
73,Ohtsuki_2018,GUSEL,PBO,4.509233350732278,1.4098807561707474,90,128,0,128,-0.6931471805599453,0.9882117688026185,2,64,2,64,0.0,0,118,Ohtsuki_2018,2018,2,192,49.0,0.76,71.0,25,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,90,0,2,2
74,ORION_2020 ,GUSEL,PBO,3.22207071576472,1.394434140062874,47,62,0,62,0.27763173659827955,1.5242683291973036,2,16,0,16,0.5,0,114,ORION_2020 ,2019,1,78,46.0,0.68,,31,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,47,0,2,0
75,Papp_2005,ETA,PBO,3.3868442523073408,1.0047836529825995,59,407,1,407,,,0,204,0,204,0.5,0,30,Papp_2005,2005,2,611,45.0,0.63,,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,59,1,0,0
76,Papp_2012a,BRODA,PBO,3.759750104564423,1.4067581984081345,89,160,0,160,-0.7444404749474958,1.2113769894324045,2,38,1,38,0.0,0,19,Papp_2012a,2012,1,198,42.5,0.64,90.0,30,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,89,0,2,1
77,Papp_2012c,APRE,PBO,1.992430164690206,1.0150384378451045,22,264,1,264,0.15415067982725836,0.7922787563134757,7,88,2,88,0.0,0,91,Papp_2012c,2012,1,352,44.0,0.63,92.0,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,22,1,7,2
78,Papp_2013a,PBO,SECU,-1.452045738682671,0.9974150172728387,1,22,20,22,1.1382214267631554,0.8821394731076885,2,103,3,103,0.0,0,10,Papp_2013a,2013,3,125,46.0,0.73,91.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,20,2,3
79,Papp_2015,PBO,TILDRA,-2.7492604697488727,0.9922441398840984,1,46,105,46,-0.3017187978048792,1.4823919279689628,0,309,4,309,0.5,0,78,Papp_2015,2015,2,355,45.0,0.76,,29,RR,beneficial,RR,harmful,PBO,TILDRA,PBO,AIL23,1,105,0,4
80,Papp_2017b,RISAN,USK,0.43671765161226883,0.20587375958097448,78,126,16,126,0.1518805312927191,0.6255444958641362,11,40,3,40,0.0,0,121,Papp_2017b,2017,3,166,46.0,0.66,90.0,,RR,beneficial,RR,harmful,RISAN,USK,AIL23,AIL1223,78,16,11,3
81,Papp_2018,DEUCRAVA,PBO,2.6380916124952996,0.9938641893621389,69,222,1,222,-0.49740260343385,1.1430689421931675,3,45,1,45,0.0,0,122,Papp_2018,2018,1,267,45.0,0.73,88.0,29,RR,beneficial,RR,harmful,DEUCRAVA,PBO,SM,PBO,69,1,3,1
82,Papp_2021,PBO,SECU,-4.215238020292876,1.411115267940118,0,52,34,52,1.1174807729724925,1.6213967616946818,1,53,0,53,0.5,0,166,Papp_2021,2021,1,313,46.0,0.73,91.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,34,1,0
